This file contains, for each analysis code and lint name:
* "has fix(es)", if the code has fix(es)
* "needs evaluation", if the code has not been evaluated in terms of fixes
* "needs fix", if the code needs a fix, with a possible issue link
* "fixes infeasible", if it has been deemed infeasible to write a fix for this code

Stats:
* 793 "needs evaluation"
LintNames.avoid_implementing_value_types: needs evaluation
LintNames.avoid_init_to_null: has fix(es)
LintNames.avoid_js_rounded_ints: needs evaluation
LintNames.avoid_multiple_declarations_per_line: needs evaluation
LintNames.avoid_null_checks_in_equality_operators: has fix(es)
LintNames.avoid_positional_boolean_parameters: needs evaluation
LintNames.avoid_print: has fix(es)
LintNames.avoid_private_typedef_functions: has fix(es)
LintNames.avoid_redundant_argument_values: has fix(es)
LintNames.avoid_relative_lib_imports: has fix(es)
LintNames.avoid_renaming_method_parameters: needs evaluation
LintNames.avoid_return_types_on_setters: has fix(es)
LintNames.avoid_returning_null: needs evaluation
LintNames.avoid_returning_null_for_future: has fix(es)
LintNames.avoid_returning_null_for_void: has fix(es)
LintNames.avoid_returning_this: needs evaluation
LintNames.avoid_setters_without_getters: needs evaluation
LintNames.avoid_shadowing_type_parameters: needs evaluation
LintNames.avoid_single_cascade_in_expression_statements: has fix(es)
LintNames.avoid_slow_async_io: needs evaluation
LintNames.avoid_type_to_string: needs evaluation
LintNames.avoid_types_as_parameter_names: has fix(es)
LintNames.avoid_types_on_closure_parameters: has fix(es)
LintNames.avoid_unnecessary_containers: has fix(es)
LintNames.avoid_unused_constructor_parameters: has fix(es)
LintNames.avoid_void_async: needs evaluation
LintNames.avoid_web_libraries_in_flutter: needs evaluation
LintNames.await_only_futures: has fix(es)
LintNames.camel_case_extensions: needs evaluation
LintNames.camel_case_types: needs evaluation
LintNames.cancel_subscriptions: needs evaluation
LintNames.cascade_invocations: needs evaluation
LintNames.cast_nullable_to_non_nullable: needs evaluation
LintNames.close_sinks: needs evaluation
LintNames.comment_references: needs evaluation
LintNames.conditional_uri_does_not_exist: needs evaluation
LintNames.constant_identifier_names: needs evaluation
LintNames.control_flow_in_finally: needs evaluation
LintNames.curly_braces_in_flow_control_structures: has fix(es)
LintNames.depend_on_referenced_packages: needs evaluation
LintNames.deprecated_consistency: needs evaluation
LintNames.diagnostic_describe_all_properties: has fix(es)
LintNames.directives_ordering: has fix(es)
LintNames.do_not_use_environment: needs evaluation
LintNames.empty_catches: has fix(es)
LintNames.empty_constructor_bodies: has fix(es)
LintNames.empty_statements: has fix(es)
LintNames.eol_at_end_of_file: has fix(es)
LintNames.exhaustive_cases: has fix(es)
LintNames.file_names: needs evaluation
LintNames.flutter_style_todos: needs evaluation
LintNames.hash_and_equals: has fix(es)
LintNames.implementation_imports: needs evaluation
LintNames.invariant_booleans: needs evaluation
LintNames.iterable_contains_unrelated_type: needs evaluation
LintNames.join_return_with_assignment: needs evaluation
LintNames.leading_newlines_in_multiline_strings: has fix(es)
LintNames.library_names: needs evaluation
LintNames.library_prefixes: needs evaluation
LintNames.library_private_types_in_public_api: needs evaluation
LintNames.lines_longer_than_80_chars: needs evaluation
LintNames.list_remove_unrelated_type: needs evaluation
LintNames.literal_only_boolean_expressions: needs evaluation
LintNames.missing_whitespace_between_adjacent_strings: needs evaluation
LintNames.no_adjacent_strings_in_list: needs evaluation
LintNames.no_default_cases: needs evaluation
LintNames.no_duplicate_case_values: has fix(es)
LintNames.no_leading_underscores_for_library_prefixes: needs evaluation
LintNames.no_leading_underscores_for_local_identifiers: needs evaluation
LintNames.no_logic_in_create_state: needs evaluation
LintNames.no_runtimeType_toString: needs evaluation
LintNames.non_constant_identifier_names: has fix(es)
LintNames.noop_primitive_operations: needs evaluation
LintNames.null_check_on_nullable_type_parameter: needs evaluation
LintNames.null_closures: has fix(es)
LintNames.omit_local_variable_types: has fix(es)
LintNames.one_member_abstracts: needs evaluation
LintNames.only_throw_errors: needs evaluation
LintNames.overridden_fields: needs evaluation
LintNames.package_api_docs: needs evaluation
LintNames.package_prefixed_library_names: needs evaluation
LintNames.parameter_assignments: needs evaluation
LintNames.prefer_adjacent_string_concatenation: has fix(es)
LintNames.prefer_asserts_in_initializer_lists: needs evaluation
LintNames.prefer_asserts_with_message: needs evaluation
LintNames.prefer_bool_in_asserts: needs evaluation
LintNames.prefer_collection_literals: has fix(es)
LintNames.prefer_conditional_assignment: has fix(es)
LintNames.prefer_const_constructors: has fix(es)
LintNames.prefer_const_constructors_in_immutables: has fix(es)
LintNames.prefer_const_declarations: has fix(es)
LintNames.prefer_const_literals_to_create_immutables: has fix(es)
LintNames.prefer_constructors_over_static_methods: needs evaluation
LintNames.prefer_contains: has fix(es)
LintNames.prefer_double_quotes: has fix(es)
LintNames.prefer_equal_for_default_values: has fix(es)
LintNames.prefer_expression_function_bodies: has fix(es)
LintNames.prefer_final_fields: has fix(es)
LintNames.prefer_final_in_for_each: has fix(es)
LintNames.prefer_final_locals: has fix(es)
LintNames.prefer_final_parameters: has fix(es)
LintNames.prefer_for_elements_to_map_fromIterable: has fix(es)
LintNames.prefer_foreach: needs evaluation
LintNames.prefer_function_declarations_over_variables: needs evaluation
LintNames.prefer_generic_function_type_aliases: has fix(es)
LintNames.prefer_if_elements_to_conditional_expressions: has fix(es)
LintNames.prefer_if_null_operators: has fix(es)
LintNames.prefer_initializing_formals: has fix(es)
LintNames.prefer_inlined_adds: has fix(es)
LintNames.prefer_int_literals: has fix(es)
LintNames.prefer_interpolation_to_compose_strings: has fix(es)
LintNames.prefer_is_empty: has fix(es)
LintNames.prefer_is_not_empty: has fix(es)
LintNames.prefer_is_not_operator: has fix(es)
LintNames.prefer_iterable_whereType: has fix(es)
LintNames.prefer_mixin: needs evaluation
LintNames.prefer_null_aware_method_calls: needs evaluation
LintNames.prefer_null_aware_operators: has fix(es)
LintNames.prefer_relative_imports: has fix(es)
LintNames.prefer_single_quotes: has fix(es)
LintNames.prefer_spread_collections: has fix(es)
LintNames.prefer_typing_uninitialized_variables: has fix(es)
LintNames.prefer_void_to_null: has fix(es)
LintNames.provide_deprecation_message: needs evaluation
LintNames.pub/package_names: needs evaluation
LintNames.pub/secure_pubspec_urls: needs evaluation
LintNames.pub/sort_pub_dependencies: needs evaluation
LintNames.public_member_api_docs: needs evaluation
LintNames.recursive_getters: needs evaluation
LintNames.require_trailing_commas: has fix(es)
LintNames.sized_box_for_whitespace: has fix(es)
LintNames.sized_box_shrink_expand: needs evaluation
LintNames.slash_for_doc_comments: has fix(es)
LintNames.sort_child_properties_last: has fix(es)
LintNames.sort_constructors_first: needs fix; https://github.com/dart-lang/sdk/issues/47953
LintNames.sort_unnamed_constructors_first: needs evaluation
LintNames.super_goes_last: needs evaluation
LintNames.test_types_in_equals: needs evaluation
LintNames.throw_in_finally: needs evaluation
LintNames.tighten_type_of_initializing_formals: needs evaluation
LintNames.type_annotate_public_apis: has fix(es)
LintNames.type_init_formals: has fix(es)
LintNames.unawaited_futures: has fix(es)
LintNames.unnecessary_await_in_return: needs evaluation
LintNames.unnecessary_brace_in_string_interps: has fix(es)
LintNames.unnecessary_const: has fix(es)
LintNames.unnecessary_constructor_name: has fix(es)
LintNames.unnecessary_final: has fix(es)
LintNames.unnecessary_getters_setters: has fix(es)
LintNames.unnecessary_lambdas: has fix(es)
LintNames.unnecessary_late: needs evaluation
LintNames.unnecessary_new: has fix(es)
LintNames.unnecessary_null_aware_assignments: needs evaluation
LintNames.unnecessary_null_checks: needs evaluation
LintNames.unnecessary_null_in_if_null_operators: has fix(es)
LintNames.unnecessary_nullable_for_final_variable_declarations: has fix(es)
LintNames.unnecessary_overrides: has fix(es)
LintNames.unnecessary_parenthesis: has fix(es)
LintNames.unnecessary_raw_strings: has fix(es)
LintNames.unnecessary_statements: needs evaluation
LintNames.unnecessary_string_escapes: has fix(es)
LintNames.unnecessary_string_interpolations: has fix(es)
LintNames.unnecessary_this: has fix(es)
LintNames.unrelated_type_equality_checks: needs evaluation
LintNames.unsafe_html: needs evaluation
LintNames.use_build_context_synchronously: needs evaluation
LintNames.use_decorated_box: needs evaluation
LintNames.use_full_hex_values_for_flutter_colors: has fix(es)
LintNames.use_function_type_syntax_for_parameters: has fix(es)
LintNames.use_if_null_to_convert_nulls_to_bools: needs evaluation
LintNames.use_is_even_rather_than_modulo: needs evaluation
LintNames.use_key_in_widget_constructors: has fix(es)
LintNames.use_late_for_private_fields_and_variables: needs evaluation
LintNames.use_named_constants: needs evaluation
LintNames.use_raw_strings: needs evaluation
LintNames.use_rethrow_when_possible: has fix(es)
LintNames.use_setters_to_change_properties: needs evaluation
LintNames.use_string_buffers: needs evaluation
LintNames.use_test_throws_matchers: needs evaluation
LintNames.use_to_and_as_if_applicable: needs evaluation
LintNames.valid_regexps: needs evaluation
LintNames.void_checks: needs evaluation
ManifestWarningCode.CAMERA_PERMISSIONS_INCOMPATIBLE: needs evaluation
ManifestWarningCode.NO_TOUCHSCREEN_FEATURE: needs evaluation
ManifestWarningCode.NON_RESIZABLE_ACTIVITY: needs evaluation
ManifestWarningCode.PERMISSION_IMPLIES_UNSUPPORTED_HARDWARE: needs evaluation
ManifestWarningCode.SETTING_ORIENTATION_ON_ACTIVITY: needs evaluation
ManifestWarningCode.UNSUPPORTED_CHROME_OS_FEATURE: needs evaluation
ManifestWarningCode.UNSUPPORTED_CHROME_OS_HARDWARE: needs evaluation
ParserErrorCode.ABSTRACT_CLASS_MEMBER: has fix(es)
ParserErrorCode.ABSTRACT_ENUM: needs evaluation
ParserErrorCode.ABSTRACT_EXTERNAL_FIELD: needs evaluation
ParserErrorCode.ABSTRACT_LATE_FIELD: needs evaluation
ParserErrorCode.ABSTRACT_STATIC_FIELD: needs evaluation
ParserErrorCode.ABSTRACT_STATIC_METHOD: needs evaluation
ParserErrorCode.ABSTRACT_TOP_LEVEL_FUNCTION: needs evaluation
ParserErrorCode.ABSTRACT_TOP_LEVEL_VARIABLE: needs evaluation
ParserErrorCode.ABSTRACT_TYPEDEF: needs evaluation
ParserErrorCode.ANNOTATION_ON_TYPE_ARGUMENT: needs evaluation
ParserErrorCode.ANNOTATION_WITH_TYPE_ARGUMENTS: needs evaluation
ParserErrorCode.ANNOTATION_WITH_TYPE_ARGUMENTS_UNINSTANTIATED: needs evaluation
ParserErrorCode.ASYNC_KEYWORD_USED_AS_IDENTIFIER: needs evaluation
ParserErrorCode.BINARY_OPERATOR_WRITTEN_OUT: needs evaluation
ParserErrorCode.BREAK_OUTSIDE_OF_LOOP: needs evaluation
ParserErrorCode.CATCH_SYNTAX: needs evaluation
ParserErrorCode.CATCH_SYNTAX_EXTRA_PARAMETERS: needs evaluation
ParserErrorCode.CLASS_IN_CLASS: needs evaluation
ParserErrorCode.COLON_IN_PLACE_OF_IN: needs evaluation
ParserErrorCode.CONFLICTING_MODIFIERS: needs evaluation
ParserErrorCode.CONST_AND_FINAL: needs evaluation
ParserErrorCode.CONST_CLASS: needs evaluation
ParserErrorCode.CONST_CONSTRUCTOR_WITH_BODY: needs evaluation
ParserErrorCode.CONST_ENUM: needs evaluation
ParserErrorCode.CONST_FACTORY: needs evaluation
ParserErrorCode.CONST_METHOD: needs evaluation
ParserErrorCode.CONST_TYPEDEF: needs evaluation
ParserErrorCode.CONSTRUCTOR_WITH_RETURN_TYPE: needs evaluation
ParserErrorCode.CONSTRUCTOR_WITH_TYPE_ARGUMENTS: needs evaluation; new in ~2.15
ParserErrorCode.CONTINUE_OUTSIDE_OF_LOOP: needs evaluation
ParserErrorCode.CONTINUE_WITHOUT_LABEL_IN_CASE: needs evaluation
ParserErrorCode.COVARIANT_AND_STATIC: needs evaluation
ParserErrorCode.COVARIANT_CONSTRUCTOR: needs evaluation
ParserErrorCode.COVARIANT_MEMBER: needs evaluation
ParserErrorCode.COVARIANT_TOP_LEVEL_DECLARATION: needs evaluation
ParserErrorCode.DEFAULT_VALUE_IN_FUNCTION_TYPE: needs evaluation
ParserErrorCode.DEFERRED_AFTER_PREFIX: needs evaluation
ParserErrorCode.DIRECTIVE_AFTER_DECLARATION: needs evaluation
ParserErrorCode.DUPLICATE_DEFERRED: needs evaluation
ParserErrorCode.DUPLICATE_LABEL_IN_SWITCH_STATEMENT: needs evaluation
ParserErrorCode.DUPLICATE_PREFIX: needs evaluation
ParserErrorCode.DUPLICATED_MODIFIER: needs evaluation
ParserErrorCode.EMPTY_ENUM_BODY: needs evaluation
ParserErrorCode.ENUM_IN_CLASS: needs evaluation
ParserErrorCode.EQUALITY_CANNOT_BE_EQUALITY_OPERAND: needs evaluation
ParserErrorCode.EXPECTED_BODY: needs evaluation
ParserErrorCode.EXPECTED_CASE_OR_DEFAULT: needs evaluation
ParserErrorCode.EXPECTED_CLASS_MEMBER: needs evaluation
ParserErrorCode.EXPECTED_ELSE_OR_COMMA: needs evaluation
ParserErrorCode.EXPECTED_EXECUTABLE: needs evaluation
ParserErrorCode.EXPECTED_IDENTIFIER_BUT_GOT_KEYWORD: needs evaluation
ParserErrorCode.EXPECTED_INSTEAD: needs evaluation
ParserErrorCode.EXPECTED_LIST_OR_MAP_LITERAL: needs evaluation
ParserErrorCode.EXPECTED_STRING_LITERAL: needs evaluation
ParserErrorCode.EXPECTED_TOKEN: has fix(es)
ParserErrorCode.EXPECTED_TYPE_NAME: needs evaluation
ParserErrorCode.EXPERIMENT_NOT_ENABLED: needs evaluation
ParserErrorCode.EXPORT_DIRECTIVE_AFTER_PART_DIRECTIVE: needs evaluation
ParserErrorCode.EXTENSION_DECLARES_ABSTRACT_MEMBER: needs evaluation
ParserErrorCode.EXTENSION_DECLARES_CONSTRUCTOR: needs evaluation
ParserErrorCode.EXTENSION_DECLARES_INSTANCE_FIELD: needs evaluation
ParserErrorCode.EXTERNAL_CLASS: needs evaluation
ParserErrorCode.EXTERNAL_CONSTRUCTOR_WITH_BODY: needs evaluation
ParserErrorCode.EXTERNAL_CONSTRUCTOR_WITH_INITIALIZER: needs evaluation
ParserErrorCode.EXTERNAL_ENUM: needs evaluation
ParserErrorCode.EXTERNAL_FACTORY_REDIRECTION: needs evaluation
ParserErrorCode.EXTERNAL_FACTORY_WITH_BODY: needs evaluation
ParserErrorCode.EXTERNAL_FIELD: needs evaluation
ParserErrorCode.EXTERNAL_GETTER_WITH_BODY: needs evaluation
ParserErrorCode.EXTERNAL_LATE_FIELD: needs evaluation
ParserErrorCode.EXTERNAL_METHOD_WITH_BODY: needs evaluation
ParserErrorCode.EXTERNAL_OPERATOR_WITH_BODY: needs evaluation
ParserErrorCode.EXTERNAL_SETTER_WITH_BODY: needs evaluation
ParserErrorCode.EXTERNAL_TYPEDEF: needs evaluation
ParserErrorCode.EXTRANEOUS_MODIFIER: needs evaluation
ParserErrorCode.FACTORY_TOP_LEVEL_DECLARATION: needs evaluation
ParserErrorCode.FACTORY_WITH_INITIALIZERS: needs evaluation
ParserErrorCode.FACTORY_WITHOUT_BODY: needs evaluation
ParserErrorCode.FIELD_INITIALIZED_OUTSIDE_DECLARING_CLASS: needs evaluation
ParserErrorCode.FIELD_INITIALIZER_OUTSIDE_CONSTRUCTOR: needs evaluation
ParserErrorCode.FINAL_AND_COVARIANT: needs evaluation
ParserErrorCode.FINAL_AND_COVARIANT_LATE_WITH_INITIALIZER: needs evaluation
ParserErrorCode.FINAL_AND_VAR: needs evaluation
ParserErrorCode.FINAL_CLASS: needs evaluation
ParserErrorCode.FINAL_CONSTRUCTOR: needs evaluation
ParserErrorCode.FINAL_ENUM: needs evaluation
ParserErrorCode.FINAL_METHOD: needs evaluation
ParserErrorCode.FINAL_TYPEDEF: needs evaluation
ParserErrorCode.FUNCTION_TYPED_PARAMETER_VAR: needs evaluation
ParserErrorCode.GETTER_CONSTRUCTOR: needs evaluation
ParserErrorCode.GETTER_IN_FUNCTION: needs evaluation
ParserErrorCode.GETTER_WITH_PARAMETERS: has fix(es)
ParserErrorCode.ILLEGAL_ASSIGNMENT_TO_NON_ASSIGNABLE: needs evaluation
ParserErrorCode.IMPLEMENTS_BEFORE_EXTENDS: needs evaluation
ParserErrorCode.IMPLEMENTS_BEFORE_ON: needs evaluation
ParserErrorCode.IMPLEMENTS_BEFORE_WITH: needs evaluation
ParserErrorCode.IMPORT_DIRECTIVE_AFTER_PART_DIRECTIVE: needs evaluation
ParserErrorCode.INITIALIZED_VARIABLE_IN_FOR_EACH: needs evaluation
ParserErrorCode.INVALID_AWAIT_IN_FOR: needs evaluation
ParserErrorCode.INVALID_CODE_POINT: needs evaluation
ParserErrorCode.INVALID_COMMENT_REFERENCE: needs evaluation
ParserErrorCode.INVALID_CONSTRUCTOR_NAME: needs evaluation
ParserErrorCode.INVALID_GENERIC_FUNCTION_TYPE: needs evaluation
ParserErrorCode.INVALID_HEX_ESCAPE: needs evaluation
ParserErrorCode.INVALID_INITIALIZER: needs evaluation
ParserErrorCode.INVALID_LITERAL_IN_CONFIGURATION: needs evaluation
ParserErrorCode.INVALID_OPERATOR: needs evaluation
ParserErrorCode.INVALID_OPERATOR_FOR_SUPER: needs evaluation
ParserErrorCode.INVALID_OPERATOR_QUESTIONMARK_PERIOD_FOR_SUPER: needs evaluation
ParserErrorCode.INVALID_STAR_AFTER_ASYNC: needs evaluation
ParserErrorCode.INVALID_SUPER_IN_INITIALIZER: needs evaluation
ParserErrorCode.INVALID_SYNC: needs evaluation
ParserErrorCode.INVALID_THIS_IN_INITIALIZER: needs evaluation
ParserErrorCode.INVALID_UNICODE_ESCAPE: needs evaluation
ParserErrorCode.INVALID_USE_OF_COVARIANT_IN_EXTENSION: needs evaluation
ParserErrorCode.LIBRARY_DIRECTIVE_NOT_FIRST: needs evaluation
ParserErrorCode.LITERAL_WITH_CLASS_AND_NEW: needs evaluation
ParserErrorCode.LITERAL_WITH_CLASS: needs evaluation
ParserErrorCode.LITERAL_WITH_NEW: needs evaluation
ParserErrorCode.LOCAL_FUNCTION_DECLARATION_MODIFIER: needs evaluation
ParserErrorCode.MEMBER_WITH_CLASS_NAME: needs evaluation
ParserErrorCode.MISSING_ASSIGNABLE_SELECTOR: needs evaluation
ParserErrorCode.MISSING_ASSIGNMENT_IN_INITIALIZER: needs evaluation
ParserErrorCode.MISSING_CATCH_OR_FINALLY: needs evaluation
ParserErrorCode.MISSING_CLOSING_PARENTHESIS: needs evaluation
ParserErrorCode.MISSING_CONST_FINAL_VAR_OR_TYPE: has fix(es)
ParserErrorCode.MISSING_ENUM_BODY: needs evaluation
ParserErrorCode.MISSING_EXPRESSION_IN_INITIALIZER: needs evaluation
ParserErrorCode.MISSING_EXPRESSION_IN_THROW: needs evaluation
ParserErrorCode.MISSING_FUNCTION_BODY: has fix(es)
ParserErrorCode.MISSING_FUNCTION_KEYWORD: needs evaluation
ParserErrorCode.MISSING_FUNCTION_PARAMETERS: needs evaluation
ParserErrorCode.MISSING_GET: needs evaluation
ParserErrorCode.MISSING_IDENTIFIER: needs evaluation
ParserErrorCode.MISSING_INITIALIZER: needs evaluation
ParserErrorCode.MISSING_KEYWORD_OPERATOR: needs evaluation
ParserErrorCode.MISSING_METHOD_PARAMETERS: needs evaluation
ParserErrorCode.MISSING_NAME_FOR_NAMED_PARAMETER: needs evaluation
ParserErrorCode.MISSING_NAME_IN_LIBRARY_DIRECTIVE: needs evaluation
ParserErrorCode.MISSING_NAME_IN_PART_OF_DIRECTIVE: needs evaluation
ParserErrorCode.MISSING_PREFIX_IN_DEFERRED_IMPORT: needs evaluation
ParserErrorCode.MISSING_STAR_AFTER_SYNC: needs evaluation
ParserErrorCode.MISSING_STATEMENT: needs evaluation
ParserErrorCode.MISSING_TERMINATOR_FOR_PARAMETER_GROUP: needs evaluation
ParserErrorCode.MISSING_TYPEDEF_PARAMETERS: needs evaluation
ParserErrorCode.MISSING_VARIABLE_IN_FOR_EACH: needs evaluation
ParserErrorCode.MIXED_PARAMETER_GROUPS: needs evaluation
ParserErrorCode.MIXIN_DECLARES_CONSTRUCTOR: needs evaluation
ParserErrorCode.MODIFIER_OUT_OF_ORDER: needs evaluation
ParserErrorCode.MULTIPLE_EXTENDS_CLAUSES: needs evaluation
ParserErrorCode.MULTIPLE_IMPLEMENTS_CLAUSES: needs evaluation
ParserErrorCode.MULTIPLE_LIBRARY_DIRECTIVES: needs evaluation
ParserErrorCode.MULTIPLE_NAMED_PARAMETER_GROUPS: needs evaluation
ParserErrorCode.MULTIPLE_ON_CLAUSES: needs evaluation
ParserErrorCode.MULTIPLE_PART_OF_DIRECTIVES: needs evaluation
ParserErrorCode.MULTIPLE_POSITIONAL_PARAMETER_GROUPS: needs evaluation
ParserErrorCode.MULTIPLE_VARIABLES_IN_FOR_EACH: needs evaluation
ParserErrorCode.MULTIPLE_VARIANCE_MODIFIERS: needs evaluation
ParserErrorCode.MULTIPLE_WITH_CLAUSES: needs evaluation
ParserErrorCode.NAMED_FUNCTION_EXPRESSION: needs evaluation
ParserErrorCode.NAMED_FUNCTION_TYPE: needs evaluation
ParserErrorCode.NAMED_PARAMETER_OUTSIDE_GROUP: needs evaluation
ParserErrorCode.NATIVE_CLAUSE_IN_NON_SDK_CODE: needs evaluation
ParserErrorCode.NATIVE_CLAUSE_SHOULD_BE_ANNOTATION: needs evaluation
ParserErrorCode.NATIVE_FUNCTION_BODY_IN_NON_SDK_CODE: needs evaluation
ParserErrorCode.NON_CONSTRUCTOR_FACTORY: needs evaluation
ParserErrorCode.NON_IDENTIFIER_LIBRARY_NAME: needs evaluation
ParserErrorCode.NON_PART_OF_DIRECTIVE_IN_PART: needs evaluation
ParserErrorCode.NON_STRING_LITERAL_AS_URI: needs evaluation
ParserErrorCode.NON_USER_DEFINABLE_OPERATOR: needs evaluation
ParserErrorCode.NORMAL_BEFORE_OPTIONAL_PARAMETERS: needs evaluation
ParserErrorCode.NULL_AWARE_CASCADE_OUT_OF_ORDER: needs evaluation
ParserErrorCode.POSITIONAL_AFTER_NAMED_ARGUMENT: needs evaluation
ParserErrorCode.POSITIONAL_PARAMETER_OUTSIDE_GROUP: needs evaluation
ParserErrorCode.PREFIX_AFTER_COMBINATOR: needs evaluation
ParserErrorCode.REDIRECTING_CONSTRUCTOR_WITH_BODY: needs evaluation
ParserErrorCode.REDIRECTION_IN_NON_FACTORY_CONSTRUCTOR: needs evaluation
ParserErrorCode.SETTER_CONSTRUCTOR: needs evaluation
ParserErrorCode.SETTER_IN_FUNCTION: needs evaluation
ParserErrorCode.STACK_OVERFLOW: needs evaluation
ParserErrorCode.STATIC_CONSTRUCTOR: needs evaluation
ParserErrorCode.STATIC_GETTER_WITHOUT_BODY: needs evaluation
ParserErrorCode.STATIC_OPERATOR: needs evaluation
ParserErrorCode.STATIC_SETTER_WITHOUT_BODY: needs evaluation
ParserErrorCode.STATIC_TOP_LEVEL_DECLARATION: needs evaluation
ParserErrorCode.SWITCH_HAS_CASE_AFTER_DEFAULT_CASE: needs evaluation
ParserErrorCode.SWITCH_HAS_MULTIPLE_DEFAULT_CASES: needs evaluation
ParserErrorCode.TOP_LEVEL_OPERATOR: needs evaluation
ParserErrorCode.TYPE_ARGUMENTS_ON_TYPE_VARIABLE: needs evaluation
ParserErrorCode.TYPE_BEFORE_FACTORY: needs evaluation
ParserErrorCode.TYPE_PARAMETER_ON_CONSTRUCTOR: needs evaluation
ParserErrorCode.TYPE_PARAMETER_ON_OPERATOR: needs evaluation
ParserErrorCode.TYPEDEF_IN_CLASS: needs evaluation
ParserErrorCode.UNEXPECTED_TERMINATOR_FOR_PARAMETER_GROUP: needs evaluation
ParserErrorCode.UNEXPECTED_TOKEN: needs evaluation
ParserErrorCode.VAR_AND_TYPE: needs evaluation
ParserErrorCode.VAR_AS_TYPE_NAME: has fix(es)
ParserErrorCode.VAR_CLASS: needs evaluation
ParserErrorCode.VAR_ENUM: needs evaluation
ParserErrorCode.VAR_RETURN_TYPE: needs evaluation
ParserErrorCode.VAR_TYPEDEF: needs evaluation
ParserErrorCode.VOID_WITH_TYPE_ARGUMENTS: needs evaluation
ParserErrorCode.WITH_BEFORE_EXTENDS: needs evaluation
ParserErrorCode.WRONG_SEPARATOR_FOR_POSITIONAL_PARAMETER: needs evaluation
ParserErrorCode.WRONG_TERMINATOR_FOR_PARAMETER_GROUP: needs evaluation
PubspecWarningCode.ASSET_DOES_NOT_EXIST: needs evaluation; new in ~2.15
PubspecWarningCode.ASSET_DIRECTORY_DOES_NOT_EXIST: needs evaluation; new in ~2.15
PubspecWarningCode.ASSET_FIELD_NOT_LIST: needs evaluation; new in ~2.15
PubspecWarningCode.ASSET_NOT_STRING: needs evaluation; new in ~2.15
PubspecWarningCode.DEPENDENCIES_FIELD_NOT_MAP: needs evaluation; new in ~2.15
PubspecWarningCode.DEPRECATED_FIELD: needs evaluation; new in ~2.15
PubspecWarningCode.FLUTTER_FIELD_NOT_MAP: needs evaluation; new in ~2.15
PubspecWarningCode.INVALID_DEPENDENCY: needs evaluation
PubspecWarningCode.MISSING_NAME: needs evaluation; new in ~2.15
PubspecWarningCode.NAME_NOT_STRING: needs evaluation; new in ~2.15
PubspecWarningCode.PATH_DOES_NOT_EXIST: needs evaluation
PubspecWarningCode.PATH_NOT_POSIX: needs evaluation; new in ~2.15
PubspecWarningCode.PATH_PUBSPEC_DOES_NOT_EXIST: needs evaluation
PubspecWarningCode.UNNECESSARY_DEV_DEPENDENCY: needs evaluation; new in ~2.15
ScannerErrorCode.EXPECTED_TOKEN: needs evaluation
ScannerErrorCode.ILLEGAL_CHARACTER: needs evaluation
ScannerErrorCode.MISSING_DIGIT: needs evaluation
ScannerErrorCode.MISSING_HEX_DIGIT: needs evaluation
ScannerErrorCode.MISSING_IDENTIFIER: needs evaluation
ScannerErrorCode.MISSING_QUOTE: needs evaluation
ScannerErrorCode.UNABLE_GET_CONTENT: needs evaluation
ScannerErrorCode.UNEXPECTED_DOLLAR_IN_STRING: needs evaluation
ScannerErrorCode.UNSUPPORTED_OPERATOR: needs evaluation
ScannerErrorCode.UNTERMINATED_MULTI_LINE_COMMENT: needs evaluation
ScannerErrorCode.UNTERMINATED_STRING_LITERAL: needs evaluation
StaticWarningCode.DEAD_NULL_AWARE_EXPRESSION: has fix(es)
StaticWarningCode.INVALID_NULL_AWARE_OPERATOR: has fix(es)
StaticWarningCode.INVALID_NULL_AWARE_OPERATOR_AFTER_SHORT_CIRCUIT: has fix(es)
StaticWarningCode.INVALID_OVERRIDE_DIFFERENT_DEFAULT_VALUES_NAMED: needs evaluation
StaticWarningCode.INVALID_OVERRIDE_DIFFERENT_DEFAULT_VALUES_POSITIONAL: needs evaluation
StaticWarningCode.MISSING_ENUM_CONSTANT_IN_SWITCH: has fix(es)
StaticWarningCode.UNNECESSARY_NON_NULL_ASSERTION: has fix(es)
